ts_code,removed
600415.SH,FALSE
600398.SH,FALSE
600392.SH,FALSE
600366.SH,FALSE
600332.SH,FALSE
600329.SH,FALSE
600309.SH,FALSE
600298.SH,FALSE
600295.SH,FALSE
600276.SH,FALSE
600206.SH,FALSE
600183.SH,FALSE
600161.SH,FALSE
600160.SH,FALSE
600153.SH,FALSE
600150.SH,FALSE
600111.SH,FALSE
600110.SH,FALSE
600096.SH,FALSE
600095.SH,FALSE
600089.SH,FALSE
600085.SH,FALSE
600066.SH,FALSE
600060.SH,FALSE
600039.SH,FALSE
600038.SH,FALSE
600036.SH,FALSE
600031.SH,FALSE
600018.SH,FALSE
600009.SH,FALSE
600007.SH,FALSE
302132.SZ,FALSE
301678.SZ,FALSE
301658.SZ,FALSE
301629.SZ,FALSE
301611.SZ,FALSE
301600.SZ,FALSE
301596.SZ,FALSE
301592.SZ,FALSE
301571.SZ,FALSE
301536.SZ,FALSE
301522.SZ,FALSE
301511.SZ,FALSE
301489.SZ,FALSE
301479.SZ,FALSE
301486.SZ,FALSE
301421.SZ,FALSE
301392.SZ,FALSE
301382.SZ,FALSE
301381.SZ,FALSE
301377.SZ,FALSE
301368.SZ,FALSE
301367.SZ,FALSE
301358.SZ,FALSE
301345.SZ,FALSE
301336.SZ,FALSE
301327.SZ,FALSE
301325.SZ,FALSE
301308.SZ,FALSE
301293.SZ,FALSE
301291.SZ,FALSE
301282.SZ,FALSE
301275.SZ,FALSE
301270.SZ,FALSE
301269.SZ,FALSE
301251.SZ,FALSE
301246.SZ,FALSE
301238.SZ,FALSE
301236.SZ,FALSE
301206.SZ,FALSE
301205.SZ,FALSE
301202.SZ,FALSE
301200.SZ,FALSE
301191.SZ,FALSE
301183.SZ,FALSE
301178.SZ,FALSE
301171.SZ,FALSE
301165.SZ,FALSE
301162.SZ,FALSE
301155.SZ,FALSE
301101.SZ,FALSE
301095.SZ,FALSE
301069.SZ,FALSE
301061.SZ,FALSE
301052.SZ,FALSE
301038.SZ,FALSE
301031.SZ,FALSE
301024.SZ,FALSE
301018.SZ,FALSE
301009.SZ,FALSE
300999.SZ,FALSE
300991.SZ,FALSE
300979.SZ,FALSE
300972.SZ,FALSE
300969.SZ,FALSE
300957.SZ,FALSE
300953.SZ,FALSE
300919.SZ,FALSE
300913.SZ,FALSE
300893.SZ,FALSE
300872.SZ,FALSE
300870.SZ,FALSE
300866.SZ,FALSE
300855.SZ,FALSE
300850.SZ,FALSE
300811.SZ,FALSE
300803.SZ,FALSE
300802.SZ,FALSE
300788.SZ,FALSE
300785.SZ,FALSE
300782.SZ,FALSE
300773.SZ,FALSE
300769.SZ,FALSE
300766.SZ,FALSE
300763.SZ,FALSE
300757.SZ,FALSE
300751.SZ,FALSE
300748.SZ,FALSE
300741.SZ,FALSE
300738.SZ,FALSE
300735.SZ,FALSE
300724.SZ,FALSE
300718.SZ,FALSE
300709.SZ,FALSE
300699.SZ,FALSE
300693.SZ,FALSE
300683.SZ,FALSE
300682.SZ,FALSE
300680.SZ,FALSE
300677.SZ,FALSE
300676.SZ,FALSE
300674.SZ,FALSE
300672.SZ,FALSE
300671.SZ,FALSE
300666.SZ,FALSE
300662.SZ,FALSE
300661.SZ,FALSE
300660.SZ,FALSE
300657.SZ,FALSE
300655.SZ,FALSE
300648.SZ,FALSE
300638.SZ,FALSE
300628.SZ,FALSE
300627.SZ,FALSE
300624.SZ,FALSE
300622.SZ,FALSE
300620.SZ,FALSE
300616.SZ,FALSE
300613.SZ,FALSE
300607.SZ,FALSE
300604.SZ,FALSE
300601.SZ,FALSE
300598.SZ,FALSE
300586.SZ,FALSE
300568.SZ,FALSE
300563.SZ,FALSE
300548.SZ,FALSE
300533.SZ,FALSE
300529.SZ,FALSE
300525.SZ,FALSE
300511.SZ,FALSE
