ts_code,freq,quantile,pct_gain_1p,pct_gain_2p,pct_gain_3p,pct_gain_5p,pct_loss_1p,pct_loss_2p,pct_loss_3p,pct_loss_5p,top_or_bottom,period
000008.SZ,D,0.5,3.62,6.76,9.72,15.25,-7.3,-11.35,-14.11,-17.67,T,34
000008.SZ,D,0.75,12.17,20.38,28.135,43.5,-3.38,-5.24,-6.56,-8.94,T,34
000008.SZ,D,0.9,25.1,43.602,56.884,84.15,-0.89,-1.424,-2.074,-2.95,T,34
000009.SZ,D,0.1,0.501,0.931,1.241,2.107,-18.213,-26.348,-32.434,-40.894,B,34
000009.SZ,D,0.25,2.4075,3.435,4.645,6.3125,-11.5425,-17.7025,-22.3925,-28.845,B,34
000009.SZ,D,0.5,6.68,9.715,13.71,18.5,-5.52,-9.54,-12.41,-16.18,B,34
000009.SZ,D,0.75,16.4125,25.335,34.9025,47.76,-1.04,-2.615,-4.0325,-5.8675,B,34
000009.SZ,D,0.9,30.168,47.912,68.865,95.329,0,0,0,-0.403,B,34
000009.SZ,D,0.1,0,0,0,0,-21.106,-28.094,-34.16,-42.428,T,34
000009.SZ,D,0.25,0.125,0.98,1.89,3.72,-13.59,-20.19,-25,-31.3,T,34
000009.SZ,D,0.5,3.89,7.33,10.72,15.53,-8.07,-11.86,-14.5,-18.4,T,34
000009.SZ,D,0.75,12.4,21.36,30.575,43.88,-3.72,-5.485,-6.965,-8.84,T,34
000009.SZ,D,0.9,24.96,42.142,58.59,90.34,-1.25,-2.052,-2.574,-3.174,T,34
000010.SZ,D,0.1,0.82,1.387,1.977,2.66,-20.333,-28.004,-33.033,-40.729,B,34
000010.SZ,D,0.25,3.4725,4.83,6.09,8.5125,-10.76,-17.89,-23.815,-29.7925,B,34
000010.SZ,D,0.5,8.28,12.05,14.695,19.76,-4.54,-8.145,-10.715,-14.67,B,34
000010.SZ,D,0.75,17.555,25.5075,32.205,44.5125,-0.5375,-2.08,-2.87,-4.5675,B,34
000010.SZ,D,0.9,30.316,43.41,57.648,72.624,0,0,0,0,B,34
000010.SZ,D,0.1,0,0,0,0.24,-22.85,-30.895,-34.795,-43.775,T,34
000010.SZ,D,0.25,0.5675,2.2625,3.175,5.8325,-13.8075,-21.6825,-26.1575,-32.6875,T,34
000010.SZ,D,0.5,5.23,8.46,11.725,16.61,-7.56,-11.2,-13.155,-17.485,T,34
000010.SZ,D,0.75,12.895,21.135,29.035,41.3075,-3.355,-5.105,-5.7925,-7.475,T,34
000010.SZ,D,0.9,26.445,39.22,53.62,67.875,-0.88,-1.61,-1.835,-2.36,T,34
000011.SZ,D,0.1,0.835,1.485,2.045,2.915,-20.025,-26.805,-32.37,-42.085,B,34
000011.SZ,D,0.25,3.015,4.98,6.0425,7.8475,-11.63,-16.88,-20.6525,-26.9675,B,34
000011.SZ,D,0.5,7.715,12.27,15.055,21.14,-5.305,-9.655,-12.07,-15.77,B,34
000011.SZ,D,0.75,16.78,26.16,32.98,42.6575,-0.9525,-2.7925,-4.1775,-6.09,B,34
000011.SZ,D,0.9,29.275,45.725,60.71,80.675,0,0,0,-0.89,B,34
000011.SZ,D,0.1,0,0,0,0,-22.92,-29.37,-34.306,-44.488,T,34
000011.SZ,D,0.25,0.37,1.515,2.45,4.595,-14.59,-19.83,-24.22,-29.2,T,34
000011.SZ,D,0.5,4.68,8.56,11.48,16.07,-8.07,-12.36,-15.19,-18.51,T,34
000011.SZ,D,0.75,12.755,21.38,27.84,38.265,-3.92,-5.915,-7.25,-9.125,T,34
000011.SZ,D,0.9,25.412,41.04,51.83,76.644,-1.228,-2.22,-2.85,-3.566,T,34
000012.SZ,D,0.1,0.72,1.05,1.465,1.79,-18.755,-26.41,-33.13,-44.565,B,34
000012.SZ,D,0.25,2.64,3.6825,4.94,6.2425,-11.0375,-18.2,-21.9825,-27.4775,B,34
000012.SZ,D,0.5,6.985,10.865,14.245,20,-4.94,-8.385,-10.875,-15.85,B,34
000012.SZ,D,0.75,15.6225,25.3125,33.435,43.9475,-0.8025,-2.52,-3.8375,-5.465,B,34
000012.SZ,D,0.9,28.83,46.075,59.425,92.88,0,0,0,-0.36,B,34
000012.SZ,D,0.1,0,0,0,0,-22.113,-29.157,-35.218,-44.127,T,34
000012.SZ,D,0.25,0.305,1.3625,2.375,3.95,-14.3925,-20.6425,-24.25,-29.275,T,34
000012.SZ,D,0.5,4.055,7.75,10.7,16.495,-7.73,-11.23,-13.32,-18.515,T,34
000012.SZ,D,0.75,12.0575,20.1475,28.6325,40.87,-3.2975,-5.305,-6.6175,-8.33,T,34
000012.SZ,D,0.9,24.682,41.541,54.895,87.229,-1.219,-2,-2.42,-2.958,T,34
000014.SZ,D,0.1,0.839,1.539,2.279,3.033,-19.78,-26.881,-32.005,-39.661,B,34
000014.SZ,D,0.25,3.4775,5.3425,6.7525,9.085,-12.25,-18.24,-22.575,-28.52,B,34
000014.SZ,D,0.5,8.335,13.5,16.69,22.85,-5.745,-9.9,-12.57,-16.54,B,34
000014.SZ,D,0.75,17.92,28.7875,37.5425,53.5375,-0.975,-2.86,-4.12,-7.11,B,34
000014.SZ,D,0.9,31.517,50.96,69.133,87.071,0,0,0,-0.817,B,34
000014.SZ,D,0.1,0,0,0,0,-22.08,-29.47,-35.16,-42.16,T,34
000014.SZ,D,0.25,0.675,2.325,3.47,5.885,-15.16,-21.19,-24.795,-30.54,T,34
000014.SZ,D,0.5,5.56,9.69,13.12,19.38,-8.61,-12.62,-15.19,-19.2,T,34
000014.SZ,D,0.75,13.59,23.64,31.965,46.295,-3.78,-5.635,-6.985,-10.015,T,34
000014.SZ,D,0.9,25.89,45.53,61.14,81.06,-1.25,-2.06,-2.51,-3.57,T,34
000016.SZ,D,0.1,0.753,1.386,1.773,2.223,-16.342,-23.717,-28.487,-36.597,B,34
000016.SZ,D,0.25,2.74,4.09,5.09,6.7025,-9.6175,-15.5,-20.0075,-26.39,B,34
000016.SZ,D,0.5,7.01,10.545,13.505,17.33,-4.595,-7.96,-10.71,-15.07,B,34
000016.SZ,D,0.75,14.7275,21.3825,27.1275,37.165,-0.6725,-2.3425,-3.7525,-5.7175,B,34
000016.SZ,D,0.9,26.853,37.78,52.886,79.435,0,0,0,-0.32,B,34
000016.SZ,D,0.1,0,0,0,0,-18.998,-25.716,-31.95,-39.95,T,34
000016.SZ,D,0.25,0.29,1.41,2.33,3.74,-12.2,-18.35,-22.18,-28.25,T,34
000016.SZ,D,0.5,4.11,7.82,10.88,14.45,-7.07,-10.22,-12.48,-16.97,T,34
000016.SZ,D,0.75,12.12,18.97,23.83,34.08,-3.23,-5.03,-6.22,-8.11,T,34
000016.SZ,D,0.9,22.926,34.414,50.578,75.336,-0.844,-1.446,-2.05,-2.882,T,34
000017.SZ,D,0.1,0.519,1.198,1.665,2.368,-20.733,-28.959,-36.805,-44.374,B,34
000017.SZ,D,0.25,2.6975,3.9775,5.5425,7.605,-13.345,-19.24,-23.53,-31.3525,B,34
000017.SZ,D,0.5,7.87,11.665,13.955,19.665,-6.415,-11.255,-14.035,-18.27,B,34
