ts_code,freq,quantile,pct_gain_1p,pct_gain_2p,pct_gain_3p,pct_gain_5p,pct_loss_1p,pct_loss_2p,pct_loss_3p,pct_loss_5p,top_or_bottom,period
000026.SZ,M,0.1,0,0.444,0.934,1.424,-68.7,-74.358,-86.126,-87.298,T,610
000026.SZ,M,0.25,0.78,5.395,21.925,21.925,-46.08,-56.215,-61.625,-73.925,T,610
000026.SZ,M,0.5,22.47,67.5,78.19,87.02,-25.35,-35.41,-40.05,-47.18,T,610
000026.SZ,M,0.75,79.12,147.2,166.055,199.73,-10.125,-15.33,-18.025,-22.525,T,610
000026.SZ,M,0.9,150.276,242.422,306.688,414.004,-0.472,-5.174,-5.174,-7.398,T,610
000027.SZ,M,0.1,1.16,1.76,10.11,14.77,-49.89,-61.13,-64.75,-67.99,B,610
000027.SZ,M,0.25,5.65,13.88,22.44,34.79,-26.61,-45.57,-53.78,-56.99,B,610
000027.SZ,M,0.5,22.36,40.52,68.49,139.05,-11.23,-18.66,-23.78,-28.57,B,610
000027.SZ,M,0.75,59.93,161.14,164.9,195.9,-1.34,-2.53,-2.96,-5.26,B,610
000027.SZ,M,0.9,192.81,449.87,449.87,449.87,0,0,0,0,B,610
000027.SZ,M,0.1,0,0,0.371,3.164,-51.381,-59.937,-64.812,-68.345,T,610
000027.SZ,M,0.25,1.5325,3.7575,5.915,16.94,-37.7675,-50.775,-57.4175,-59.675,T,610
000027.SZ,M,0.5,8.96,20.73,46.87,119.305,-21.035,-27.75,-34.985,-40.88,T,610
000027.SZ,M,0.75,39.8375,143.675,150.515,180.865,-9.9125,-10.9825,-12.2675,-14.6975,T,610
000027.SZ,M,0.9,189.022,338.779,341.803,341.803,-4.867,-5.385,-5.504,-6.391,T,610
000028.SZ,M,0.1,6.77,8.31,19.4,23.37,-47.27,-66.33,-66.33,-66.33,B,610
000028.SZ,M,0.25,15.51,26.7,54.27,71.75,-32.25,-35.01,-37.62,-46.66,B,610
000028.SZ,M,0.5,37.51,101.68,118.94,131.29,-14,-23.47,-28.65,-30.16,B,610
000028.SZ,M,0.75,119.55,205.33,313.95,393.01,-0.99,-2.27,-8.49,-10.74,B,610
000028.SZ,M,0.9,221.48,430.21,561.01,872.14,0,0,0,0,B,610
000028.SZ,M,0.1,0,0,0,12.608,-51.805,-69.932,-74.068,-74.068,T,610
000028.SZ,M,0.25,0.3575,14.5725,25.82,52.2675,-39.2925,-44.78,-48.8975,-54.7875,T,610
000028.SZ,M,0.5,22.085,72.79,90.885,115.785,-24.03,-31.97,-33.225,-37.07,T,610
000028.SZ,M,0.75,88.2425,155.425,267.245,315.775,-13.195,-15.88,-17.3475,-20.185,T,610
000028.SZ,M,0.9,197.022,332.001,515.083,780.251,-1.879,-2.163,-2.818,-3.271,T,610
000029.SZ,M,0.1,6.579,9.653,14.179,44.123,-52.387,-62.18,-71.563,-73.116,B,610
000029.SZ,M,0.25,11.5975,27.015,54.4475,65.7375,-41.99,-50.605,-52.36,-60.1325,B,610
000029.SZ,M,0.5,43.29,93.14,124.69,147.38,-18.97,-32.545,-33.81,-41.07,B,610
000029.SZ,M,0.75,104.285,171.1875,224.1525,237.63,-5.0525,-5.53,-7.9425,-8.06,B,610
000029.SZ,M,0.9,207.63,377.51,377.51,377.802,0,0,-1.893,-1.893,B,610
000029.SZ,M,0.1,0,0,0,3.26,-59.926,-69.408,-76.204,-77.262,T,610
000029.SZ,M,0.25,0.44,5.35,14.53,41.38,-45.16,-58.37,-59.51,-65.68,T,610
000029.SZ,M,0.5,23.12,60.75,89.79,112.3,-23.8,-25.24,-34.1,-41.47,T,610
000029.SZ,M,0.75,89.79,168.09,213.57,218.39,-10.44,-12.34,-15.08,-16.39,T,610
000029.SZ,M,0.9,213.472,273.15,279.68,308.476,-4.402,-5.352,-7.318,-7.318,T,610
000030.SZ,M,0.1,4.972,8.968,8.968,18.314,-56.512,-84.68,-87.957,-91.969,B,610
000030.SZ,M,0.25,16.4,29.11,31.7225,36.39,-38.9275,-45.2575,-51.6325,-71.535,B,610
000030.SZ,M,0.5,37.84,59.155,79.475,87.315,-19.89,-24.925,-29.31,-30.315,B,610
000030.SZ,M,0.75,89.055,149.1825,170.9175,224.4725,0,-0.2825,-3.315,-5.0725,B,610
000030.SZ,M,0.9,154.99,308.411,501.803,669.844,0,0,0,0,B,610
000030.SZ,M,0.1,0,0,0,2.464,-71.61,-83.308,-90.028,-92.758,T,610
000030.SZ,M,0.25,2.16,5.78,11.04,15.05,-51.75,-56.25,-65.9,-86.6,T,610
000030.SZ,M,0.5,14.52,42.43,62.14,78.16,-28.23,-33.62,-41.2,-49.19,T,610
000030.SZ,M,0.75,69.11,110.58,168.34,192.15,-11.1,-13.75,-26.21,-26.87,T,610
000030.SZ,M,0.9,139.294,215.242,400.89,690.548,-3.032,-3.16,-7.724,-9.45,T,610
000031.SZ,M,0.1,7.09,7.66,9.72,11.14,-49.95,-70.57,-88.44,-90.02,B,610
000031.SZ,M,0.25,15.27,18.73,27.27,35.88,-37.85,-48.23,-59.32,-80.57,B,610
000031.SZ,M,0.5,36.22,50.49,110.57,119.6,-20,-34.92,-40.97,-50.32,B,610
000031.SZ,M,0.75,127.27,372.8,381.79,381.79,-4.2,-13.04,-17.31,-24.81,B,610
000031.SZ,M,0.9,485.15,741.1,751.55,751.55,0,0,0,-6.75,B,610
000031.SZ,M,0.1,0,0,0,0,-61.074,-82.821,-85.893,-91.071,T,610
000031.SZ,M,0.25,0,0,0.28,12.84,-49.21,-60.995,-69.2675,-79.825,T,610
