ts_code,freq,quantile,pct_gain_1p,pct_gain_2p,pct_gain_3p,pct_gain_5p,pct_loss_1p,pct_loss_2p,pct_loss_3p,pct_loss_5p,top_or_bottom,period
000026.SZ,W,0.75,27.285,49,75.47,124.3825,-5.6825,-8.1725,-8.9575,-11.005,T,144
000026.SZ,W,0.9,50.373,83.711,136.143,216.524,-1.535,-2.908,-3.141,-3.864,T,144
000027.SZ,W,0.1,0.99,1.345,1.965,2.93,-26.365,-43.605,-51.4,-57.77,B,144
000027.SZ,W,0.25,4.63,5.7075,6.8775,9.895,-16.35,-25.1525,-29.8525,-38.2775,B,144
000027.SZ,W,0.5,11.03,15.17,19.91,26.74,-7.28,-11.97,-15.565,-21.22,B,144
000027.SZ,W,0.75,27.0625,43.89,57.9475,107.565,-1.06,-2.7375,-5.0325,-6.7675,B,144
000027.SZ,W,0.9,54.675,108.275,167.105,328.865,0,0,0,0,B,144
000027.SZ,W,0.1,0,0,0,0,-28.98,-44.442,-52.148,-58.578,T,144
000027.SZ,W,0.25,0.21,1.915,3.295,5.32,-19.96,-27.445,-34.145,-42.32,T,144
000027.SZ,W,0.5,6.02,11.2,15.84,21.12,-11.88,-14.79,-19.37,-24.58,T,144
000027.SZ,W,0.75,22.255,31.65,46.085,99.63,-5.515,-7.35,-9.32,-12.205,T,144
000027.SZ,W,0.9,52.22,108.76,179.566,302.436,-1.234,-3.028,-3.49,-4.818,T,144
000028.SZ,W,0.1,1.23,2.257,2.383,4.096,-28.733,-38.95,-45.162,-59.37,B,144
000028.SZ,W,0.25,5.6475,8.33,10.2125,19.0875,-18.66,-27.45,-32.5275,-36.855,B,144
000028.SZ,W,0.5,13.83,23.01,27.54,42.02,-8.48,-13.7,-17.705,-21.26,B,144
000028.SZ,W,0.75,34.1075,52.735,80.38,119.84,-1.755,-3.9875,-4.645,-6.8225,B,144
000028.SZ,W,0.9,58.263,101.304,150.819,267.918,0,0,0,0,B,144
000028.SZ,W,0.1,0,0,0,0,-34.197,-42.154,-48.948,-60.707,T,144
000028.SZ,W,0.25,0.6525,4.0425,6.2775,12.62,-22.59,-30.555,-35.88,-41.78,T,144
000028.SZ,W,0.5,8.69,16.655,21.705,33.455,-13.335,-19.25,-21.685,-24.785,T,144
000028.SZ,W,0.75,25.3225,46.09,73.305,115.4125,-6.105,-9.2775,-10.22,-13.08,T,144
000028.SZ,W,0.9,43.81,87.423,153.248,267.108,-1.199,-2.65,-3.254,-3.432,T,144
000029.SZ,W,0.1,1.302,1.976,2.442,4.454,-33.848,-44.82,-53.934,-60.17,B,144
000029.SZ,W,0.25,6.14,9.4,12.15,17.58,-22.41,-29.73,-37.76,-46.97,B,144
000029.SZ,W,0.5,17.07,25.71,30.21,55.27,-12.09,-14.74,-18.71,-24.41,B,144
000029.SZ,W,0.75,37.69,67.52,81.87,147.12,-1.11,-3.94,-5.37,-5.99,B,144
000029.SZ,W,0.9,75.512,127.096,185.866,300.088,0,0,0,0,B,144
000029.SZ,W,0.1,0,0,0,0,-36.564,-49.382,-55.936,-63.696,T,144
000029.SZ,W,0.25,0.08,4.16,5.74,7.89,-25.88,-35.33,-42.86,-52.36,T,144
000029.SZ,W,0.5,8.97,17.07,21.89,42.27,-16.29,-20.15,-24.82,-28.44,T,144
000029.SZ,W,0.75,28.83,56.94,76.97,131.11,-8.36,-10.34,-11.3,-12.11,T,144
000029.SZ,W,0.9,56.964,116.8,172.446,274.118,-1.468,-2.78,-2.78,-4.498,T,144
000030.SZ,W,0.1,0.535,1.625,2.25,2.84,-35.45,-49.875,-59.02,-70.585,B,144
000030.SZ,W,0.25,4.73,9.02,11.075,12.6725,-22.8125,-31.85,-41.0675,-51.69,B,144
000030.SZ,W,0.5,16.82,22.585,26.975,37.64,-10.77,-18.915,-22.665,-28.145,B,144
000030.SZ,W,0.75,37.715,51.6125,68.32,112.495,-1.425,-5.04,-6.79,-7.8325,B,144
000030.SZ,W,0.9,64.085,93.475,124.395,201.45,0,0,0,0,B,144
000030.SZ,W,0.1,0,0,0,0,-42.608,-53.32,-60.076,-73.962,T,144
000030.SZ,W,0.25,0.19,2.64,5.5,6.23,-29.66,-42.56,-48.92,-57.23,T,144
000030.SZ,W,0.5,8.82,14.76,18.28,28.77,-16.47,-24.66,-28.97,-33.09,T,144
000030.SZ,W,0.75,28.19,39.62,53.99,102.91,-8.19,-10.87,-12.65,-14.62,T,144
000030.SZ,W,0.9,50.712,88.312,112.79,158.848,-2.796,-4.288,-5.3,-6.054,T,144
000031.SZ,W,0.1,0.52,1.78,2.46,3.65,-29.15,-43.05,-50.64,-64.41,B,144
000031.SZ,W,0.25,5.64,8.125,12.125,13.77,-19.895,-29.58,-36.915,-46.04,B,144
000031.SZ,W,0.5,15.87,24.29,27.78,37.74,-10.26,-18.13,-23.48,-33.33,B,144
000031.SZ,W,0.75,35.975,50.35,70.41,129.075,-2.755,-5.91,-9.37,-13.775,B,144
000031.SZ,W,0.9,72.19,168.82,268.57,563.35,0,0,-0.63,-2.33,B,144
000031.SZ,W,0.1,0,0,0,0,-36.609,-49.835,-55.474,-67.643,T,144
